#Person1#'s getting a check-up, and Doctor #Person2# advises him to have one every year.	get a check-up
#Person1#'s looking for a set of keys and asks for #Person2#'s help to find them.	find keys
#Person1#'s angry because #Person2# didn't tell #Person1# that #Person2# had a girlfriend and would marry her.	have a girlfriend
#Person1# gives Aims a birthday present and Aims loves it.	birthday
#Person1# tells #Person2# the fare of taking a taxi.	pay the fare
#Person1# shows a basic computer package to #Person2#.	a job application
#Person1# has an interview with a visa official.	a computer package
#Person1# asks #Person2# to do a favor.	a visa
#Person2# thinks the picture is lovely and asks #Person1# to give a slide and a wallet-size print.	do a favor
#Person2# suggests #Person1# use a spam filter to reject #Person3#'s pornographic stuff.	a copy
#Person1# and #Person2# are talking about their families' ages.	sexual harrassment
#Person2# likes dance music while #Person1# prefers classical music.	age
#Person1# asks #Person2# whether she plans on having more babies.	Valentine's Day
#Person1# and #Person2# are talking about different choices of ice cream.	triplets
#Person1# invites #Person2# to work together, and #Person2# agrees.	ice cream
#Person1#'s getting dressed in the car, and #Person2# warns her not.	work together
#Person1# asks #Person2# what they need to do when they check in at the Air China's counter.	get dressed
#Person1# calls #Person2# because #Person1# needs a mover.	check in
#Person1# has redecorated #Person1#'s bedroom and considers a new wardrobe as #Person1# has so many clothes.	 traveler's checks
#Person2# orders a soup with small dishes on the recommendation of #Person1#.	a window table
#Person1# is annoyed by #Person2#'s banging noise.	the lost backpack
Li Lei tells #Person1# the origin and the time of Easter and how they celebrate the day.	impose a fine
#Person2# had a great honeymoon in Florida.	 take classes
#Person1# tells #Person2# she is leaving for America as she gets admitted to MIT.	time to visit
#Person2# tells #Person1# what the boss said, and #Person2# isn't in the mood.	golf clubs
#Person1# advises to sell the current apartment and buy a new apartment.	adopt animals
#Person1# and #Person2# come across a car accident and #Person2# asks #Person1# to put on the news.	product presentation
#Person2# and #Person1# enjoy the sunshine on the grass while thinking about their honeymoon.	traffic regulations
#Person2#'s looking for a pair of white shoes to go with #Person2#'s jeans.	evening gown
#Person1#, who has visited #Person2#'s company for five days, is saying goodbye to #Person2#.	go to Suzhou
#Person2# tells #Person1# he has been to some places in Europe but has never been to London.	a business intervie
#Person1# tells #Person1# about the sports she likes.	 do a favor
#Person2# tells #Person1# #Person2# fails the job interview.	paint house
#Person2# tells #Person1# #Person2# is tired to work around the house.	creat viruses
#Person1# asks #Person2# about the schedule and the major and asks #Person2# to remind #Person1# not to sign up for French literature.	dangerous driving
#Person1# hates spitting on the football pitch during a game and chewing with his mouth open.	send e-cards
#Person2# buys 12 eggs and half a kilo of green tea from #Person1# for 14 yuan.	telephone number
#Person1# and #Person2# are introducing Woodhill Shelter, which is Britain's most unusual animal shelter.	test score
#Person1# and #Person2# have two choices of where to spend their vacation.	do a laundry
#Person1# and #Person2# think the car is a good deal.	proper time
#Person1# asks for durable packing materials and requests #Person2# to put origin marks and quality marks on each container.	about Sunday
#Person2# often trades online and teaches #Person1# how to do it.	attractions of Xi'an
#Person2#'s working overtime to finish a presentation.	hunt jobs online
#Person2#'s looking for a dress for a formal party.	get a ticket
#Person2# gets sick of #Person2# because she always tells #Person2# what to do.	cancel a check
#Person1# can't stand her rude son but her husband doesn't bother.	acquire the job
#Person1# who just moved in next door comes to visit Barbara.	use library computers
#Person2# wants to check out a magazine.	the kids' lives
#Person1# has to stay in bed.	traveling experiences
#Person1# tells #Person2# #Person3# divorced her French husband, then they talk about mixed marriage.	married life
#Person1#'s assisting #Person2# in choosing a color TV.	antiques
#Person1# is answering #Person2#'s questions about qualifying for Comprehensive Credit Granting.	buy food
#Person2#'ll watch a movie and invites #Person1# to come but #Person1# refuses.	remittance inquiry
#Person1# assures #Person2# of the good quality of #Person1#'s products.	pay for the ticket
#Person1# hasn't told his wife #Person2# he'll be sent to Germany for a new project.	voicemail on the call
#Person1# take six courses and she needs #Person2#'s signature on the schedule card.	tailored suit
#Person1# has to prepare for the exam so #Person1# can use her bike.	a Christmas gift
#Person1# hears the #Person2# plan to buy another house.	a maniac
#Person2# guesses #Person1#'s zodiac sign is a snake because #Person1# is sneaky, conniving, and cold-blooded.	future study plan
#Person2# has a reservation and #Person1# helps #Person2# check in.	the anniversary
#Person1# tells #Person2# about #Person1#'s busy work schedule this week.	the aged and the young
#Person1# and #Person2#'s son drew a moving picture for #Person1#.	friends' gathering
#Person1# gives #Person2# a racing car as a gift.	summer jobs
#Person1# needs to extend the student visa, and #Person2# asks for some documents.	cut into line
#Person2# thinks they don't need much room.	unemployment insurance
#Person2# has been to many countries and plans to visit Australia and New Zealand.	office party
#Person1# shows #Person2# around his dorm and describes its construction.	reunion
#Person1# must go and promises to call #Person2#.	autograph
#Person2# tells #Person1# the grade bases on coursework and explains the percentage of each session.	important day
#Person2# praises #Person2# on the strategy outline of the presentation and appreciates that he took #Person2#'s advice about pricing strategies.	preacher's speech
#Person1#'s thinking about what birthday gift to give Vicky.	become competent
#Person2# thinks the main cause of the war now is poverty.	auction
#Person2# lets #Person1# fill the car up and check the tires.	vehicle maintainance shop
#Person1# suggests living in the motel and explains the motel.	grocery shopping
#Person1# is making a travel plan.	baby shower
#Person2# tells #Person1# where the boarding gate for transfer passenger is.	Haunted House
#Person2# can't stand queuing, so #Person2# asks #Person1# to help deposit 1, 000 RIB.	theft
#Person2# asks #Person1# about their parking service.	sense the rain
#Person2# got a new television yesterday because the old one stopped working.	noise
The school #Person1# used to study in invites #Person1# to hold a talk.	visit a friend
#Person1# calls #Person2# to invite him to go fishing, and #Person2# agrees.	accurately communicate
Mike Williams calls #Person1# to explain he received 50 CDs but have ordered 150.	experiment
#Person2#'s car has been making strange noises.	house and barbecue
#Person2# recommends the flight website which can compare prices of different airlines.	lose the files
#Person1# tells #Person1# there is a free job fair in the personnel market with many famous corporations.	routing check
#Person1# tells #Person2# #Person3#'s been promoted, which surprises #Person2#.	suit customization
#Person1# thinks the baby looks like #Person2#.	leaving the party
#Person1# wants to speak to #Person2# but her line is busy.	shopping for new clothes
#Person2# tells #Person1# about the countries #Person2# has been to.	noisy Saturday morning
#Person1# and #Person2# have settled in at school.	attitude change
#Person1# is going over to WebTracker with #Person2#, which surprises #Person2#.	Easter
#Person1# tells #Person2# about his busy morning.	Chrismas vacation
#Person1# and #Person2# talk about the old-fashioned wrestling game.	final exam
#Person1# tells #Person2# to connect the operator to make an international call to Paris.	transfer from PCC
#Person1# helps #Person2# transfer the money to #Person2#'s and cancel #Person2#'s account.	goodbye
#Person1# helps #Person2# check in and select a seat by the emergency exits.	call
#Person1# tells #Person2# he could not see #Person3# because he is engaged at the moment.	a car accident
#Person1# asks #Person2# to share the recipe and says he'll help #Person3# cook dinner when they are married.	airplane tickets
#Person2# plans to go to Hawaii to relax and #Person1# is going to Egypt.	shopping for shoes
#Person1# and #Person2# will watch a program about animals and go to grandma's.	furniture store downtow
#Person1# finds #Person2# is not well and advises #Person2# not to go to the meeting.	go to London
#Person2#'d like the double cheese burger meal and sprite instead of coke, although #Person1# recommends a super size meal.	English sports
#Person2# tells #Person1# the T-shirt #Person1# wants is sold out and recommends another T-shirt.	fail the interview
#Person1# bought a dozen of apples and two kilograms of tangerines from #Person2#.	business career
#Person1# thinks #Person2#'s previous manager was capable, but #Person2# disagrees.	wedding anniversary
#Person2# grew up in Providence, while #Person1# was born in Gaoxiong.	air ticket
#Person1# asks #Person2# what to wear for a formal party.	coat
#Person2# tells #Person1# everyone was so upset because the home team played terribly.	study schedule
#Person2# says #Person2# would like to be a university professor.	advice on speeech
#Person1# looks furious because she is sick and tired of all the office power struggles.	shipping goods
#Person1# and #Person2# think it is incredible that a Chinese girl has broken the world record.	search for a book
#Person2# tells #Person1# that Q-Duck, the famous roast-duck store has moved to other places.	dislike someone
#Person1# is introducing a new microwave stove to #Person2# because it is easy to use and has many functions.	cheat
#Person1# praises #Person2# because #Person1# has been very satisfied with #Person2#'s performance and thinks #Person2#'s dependability has been a great asset.	mixed marriage
#Person1# and #Person2# are making the opening remarks for tonight's fashion show which includes highlights dressed in the latest straight.	customer complaints
#Person1# is going to buy bicycle A5, FOB Qingdao from Smith, and #Person1# asks for a 5 % discount.	buy a TV
#Person1# asks Bell Captain to send up a boy to help with his luggage.	Comprehensive Credit Granting
Both #Person1# and #Person2# like the new film #Person3# directed.	rummage sales
#Person1# enjoyed her trip to England except for the boat ride because it was raining the whole time.	watch dancing
#Person1# and #Person2# are introducing the international camps which will be held later this year.	work schedule
#Person1# describes #Person1#'s sneezing symptoms and #Person2# believes it's allergic rhinitis after examining #Person1#'s nose.	weather for picnics
#Person1# calls #Person2# for the final decision, but he's busy	interview someone
#Person1# says #Person2# cannot change the order because the fish will be ready.	share a ride
#Person1# helps #Person2# make a reservation for a table of six and notes down the food type and arriving time.	drawing
#Person1# and #Person2# say that the job-hunters will confront difficult questions in interviews.	pick up Grandma
#Person1# asks #Person2# for a copy of the service contract with Telecoms.	extend the visa
#Person1# invites #Person2# to a party but #Person2# is sad about failing courses.	spacious apartment
#Person1# and #Person2# argue about what's important in a movie.	European countries
#Person1# and #Person2# meet each other and share their recent status.	running commentary
#Person2# went to a global warming rally at weekend.	dorm room
#Person1# and #Person2# are queuing in the line, reading the tabloids with crazy stories.	devaluation
#Person2# found the ideal position in a plumbing company.	living place
#Person1# tells #Person2# that #Person1# took out a life insurance policy because his job is dangerous.	teacher's request
#Person1# decides to buy a black leather suite from #Person2#.	the renting lease
#Person1# thanks #Person2# for the meal and will do the washing-up.	attend the puppies
#Person1# teaches at NYU and #Person2# learns there.	traffic tools
#Person1# has to stay in bed for at least a week.	motel
#Person1# and #Person2# had a car accident.	check the lots
#Person1# wants to correct the bank statement, withdraw money and pay the credit bill.	deposit money
#Person2# tells #Person1# black people are born to be good at talking and dancing.	ticket of ballet
#Person1# wants to buy stocks to retire rich.	parking service
#Person1# tells #Person2# that the school starts at 8:20 and he usually bikes to school.	candy and toothache
#Person2# doesn't know the way to the zoo so #Person1# will pick up #Person2# at the school gate.	order clothes
#Person1# wants to go out to play but #Person1#'s mom asks #Person1# to get the work done first.	new television
#Person2# tells #Person1# #Person2# is busy tomorrow and #Person4# cannot help because he will leave for a meeting.	hold a talk
#Person2# tells #Person1# #Person2# plays guitar from age 8 but #Person2# thinks playing the piano is the most difficult.	interest of arts
#Person1# and #Person2# find they are in the same class.	missing CD players
#Person1#'s from the students' union and asking #Person2# some questions to do a survey of students' eating habits.	visit new house
#Person1# asks #Person2# for some drinks and apples to get #Person1#'s minibar restocked.	questions about travelling
#Person1# and #Person2# admire each other's outfit today and talk about dressing.	money and health
#Person1# has made an appointment with the HR manager.	choose the outfit
#Person1# is joined by #Person3# Sanderson and #Person3# gives a detailed international weather report.	personnel market
#Person1# suspects that #Person2# is spying on #Person1# and is angry with #Person2#.	unexpected promotion
#Person1# invites #Person2# to his wife's birthday party.	babies and parents
#Person1# tells #Person2# that the Hills divorced but #Person2# asks her not to gossip.	a phone call
#Person1# tells #Person2# that #Person3# and #Person4# broke up because #Person3# was cheating on Mary.	a surprise
#Person1# tells #Person1# that he needs three more days to finish reading a book because of a cold.	wrestling game
#Person2# wants to buy Traveller's Cheques and #Person1# gives a simple introduction.	take an order
#Person1# got some junk food, while #Person2# bought healthy food and tells #Person1# it's environmentally-friendly, but #Person1# finds #Person2# also bought doughnuts.	cancel the account
#Person1# and #Person2# are unsatisfied with the food they ordered and want to tell the waiter.	weather report
#Person1# comes to #Person2# to activate #Person1#'s cell phone and discusses with #Person2# about the service plans.	check-in
#Person1# calls to speak to #Person2# but he isn't available.	work environment
#Person2# tells #Person1# that #Person2# chose the job because of the company's impressive growth record and chances of improvement.	talk show
#Person1# discusses with #Person2# about the insurance of #Person1#'s damaged car and finally decides on full coverage.	form a band
#Person1# questions #Person2# for his indulgence in entertainment and urges him to work hard.	the new iPhone
#Person1# wants to buy the best running shoes no matter how much they would cost.	under the weather
#Person1# invites #Person2# to a beauty parlor.	buy fruits
#Person2# tells #Person1# #Person2# wants the job because it fits in #Person2#'s major and #Person2# might have more opportunities.	appraisal
#Person1# shares a book about Steve Jobs by Walter Isaacson with #Person2#.	hometown
#Person1# questions #Person2# about #Person2#'s whereabouts yesterday evening and accuses #Person2# of robbing a bank.	party dress
#Person1# tells #Person2# tea is the most popular beverage and they talk about the categories of Chinese tea.	failed the exam
#Person2# gives #Person1# interview advice, including speaking in a confident manner, not to eat garlic, and never chewing gum.	ideal career
#Person1# explains she's late because she forgot her umbrella and had to wait for the rain out.	celebrate party
Uncle Benjamin and #Person2# haven't seen each other for years.	beach tours
#Person1# likes love stories but #Person1# dislikes them.	Personal Pledge Loans
#Person1# and #Person2# find out they have the same handicap.	break world record
#Person1#'s offer is counter offered by the owner.	shapes of buildings
#Person1# prefers jade bracelets over necklaces.	table tennis
#Person2# asks for an apartment because #Person2#'s house is far from the firm.	store
#Person1# invites #Person2# to dinner at a Chinese restaurant through a call.	countries' landscapes
#Person1# is worried about missing the train while #Person2# is relaxed because they still have time.	storm
#Person1# boards and asks #Person2# to help with luggage.	accelerate the computer
#Person1# says it's snowing and will snow tomorrow.	microwave stove
#Person1# checks in with his ID.	tour route
#Person2# and #Person1# can't shop because the deposit boxes are full.	pick up baggage
#Person2# tells #Person1# what an exporter considers and talks about it in detail.	fashion show
Han doesn't celebrate Christmas so #Person1# tells Han about Christmas traditions.	discount
#Person2# is trying to gather volunteers for a daycare center with candies.	miss the stop
#Person1# invites #Person2#'s sister from France to #Person2#'s birthday.	luggage
#Person2# wants a suit tailored with extra space in the collar and waist.	deposit box rental
#Person2# thinks #Person1#'s meeting about the Oil crisis in Latin America with Professor #Person3# will be interesting.	taking pictures
#Person1# checks what #Person2# bought for school but finds two smartphones and an iPad.	a new room
#Person1# wants to be friends with #Person2# but can't get close.	Italian name
#Person2# meets #Person1# and finds out they've met at the conference before, #Person1# was impressed by #Person2#'s speech.	find a guide
#Person1# says the caller urgently needs Hall who's not coming but did not leave a number.	thin
#Person1# wants to get pizza but #Person2# plans to stay home to wait for a package.	New York
#Person1# goes to a restaurant reserved for 12 people.	foreign language
#Person1# offers a temporary loan to #Person2#.	cocktail party
#Person1# receives job interview advice from #Person2#.	Fitzgerald
#Person1# and #Person2# shares their countries' popular sports.	favorite subject
#Person1# and #Person2# discuss #Person3#'s powerful smiles.	the Opera House
Dad teaches #Person1# the word 'Sword', and asks #Person1# to look up the meaning.	international camps
#Person1# is excited about starting work.	apartment seeing
#Person1# just got off her phone with her boyfriend and complains about her boyfriend's bad temper to #Person2#.	prison
#Person2# doesn't know what privacy means in China where people share personal stories and look at #Person2#'s newspaper.	wedding plans
#Person1# gives #Person2# advice on #Person2#'s letter.	sad feelings
Lily is sorry for being strict with #Person1# when it comes to money, #Person1# is also sorry for always spending.	waiting in lines
#Person1# wonders why #Person1# always takes credit for the work they've done together like the line.	making salad
#Person1# helps #Person2# withdraw $300 from the checking account.	job choice
#Person2# asks if a 90-day notice is needed to withdraw money.	health classes
#Person1# and #Person2# are pleased with the view from the peak.	taxi driving
#Person1# wants to change a dress bought earlier to a size down.	car discussion
#Person1# explains to #Person1# what a nanometer is by making an analogy.	check health conditions
#Person2# suggests getting some soft drinks and wine for the party tonight.	damage
#Person1# reports #Person2#'s two-day business schedule in Shanghai to him.	activity arrangement
#Person1# checks out at the hotel with #Person2#'s assistance.	music playing
#Person1# is checking in and will wait for boarding.	hiking
#Person2# happens to meet #Person1# in #Person1#'s workplace.	staying at home
#Person1# buys a pair of shoes.	course discussion
#Person2# checks the bus ticket to Boston for #Person1# and #Person1# buys one.	internet business
#Person1# tells #Person2# the age of digital TV is coming.	eating habits
#Person2# likes reading, and #Person2# likes different books in different stages.	toothache
#Person1# praises the nice weather here but #Person2# says they have four seasons of spring here.	bathtub damage
#Person1# is concerned with #Person1#'s grades.	news discussion
#Person2# does #Person1#'s haircut and #Person1# is satisfied.	talk about family
#Person1# compliments #Person2#'s dress and #Person2# appreciates it.	dolphin discussion
#Person1# finds a sentence saying that healthy eating is not about depriving of foods people like.	interpersonal relationship crisis
#Person1# wants to apply for the job of a clerk typist.	gossiping
#Person2# wants to apply for a position as a foreign bank staff member.	hit on girls
#Person1# gets on a bus but doesn't know whether it is the right bus to the destination.	funny experience sharing
#Person1# buys some pears and plums in #Person2#'s store after #Person2# agrees to give a discount.	exam worries
#Person1# asks #Person2# about #Person2#'s marital status.	environment discussion
#Person2# needs a book but can't afford it.	buy Traveller's Cheques
#Person1# and #Person2# argue who's to blame for a traffic accident.	report somebody missing
#Person1# feels worried because she's gained weight.	dine at restaurant
#Person2# bought a new scarf as it's getting freezing.	cell phone service
#Person1# thinks the new exercise class is too hard while #Person2# thinks it easy.	call someone
#Person1# calls #Person2# and wants to know why his order hasn't arrived yet.	employment contract signing
#Person1# tells #Person2# that #Person1# will quit #Person1#'s job because #Person1# has gotten a better offer.	work permission discussion
#Person1# invites #Person2# to come to a get-together.	insurance discussion
#Person2# tells #Person1# that #Person1#'s daughter is wonderful, intelligent, and well-behaved in #Person2#'s class.	love relationship discussion
#Person1# is assisting #Person2# in finding a porter.	admonish someone
#Person1# asks #Person2# for some free stuff as souvenirs.	beauty parlor activities
#Person1# tells #Person2# that she'll become Vice President of Marketing as #Person3# and #Person4# work for Zina now.	company affairs discussion
#Person1# tells #Person2# that #Person1#'s stuck in the traffic jam and will be late for dinner.	interrogation
#Person2# tells #Person1# how to use the ticket machine.	Tea
#Person1#'s mom doesn't let #Person1# have desserts unless #Person1# eats all the vegetables, but #Person1# hates broccoli and cauliflower.	Interview advice
#Person1# tells #Person1# she's upset because her bag with her passport was stolen.	Form
#Person1# assists #Person2# in withdrawing #Person2#'s salary.	Rain
#Person1# helps Sara Wilson with her heavy bag.	New Skates
#Person1# from China phones #Person2# to tell him the availability of the document.	Moving in
#Person2# checks in for a room for his family with #Person1#'s assistance.	Stories
#Person2# tells #Person1# the seat isn't available and suggests #Person1# ask the conductor.	Golf
#Person1# invites #Person2# to go to a farm in the countryside near Taipei together tomorrow.	Housing
#Person1# phones the front desk for a TV guide and a check-out of the minibar.	Grapes
#Person2# answers some questions from Sue from Daily Magazine for a study of transport service in the area.	Invitation
#Person1# misreads the Hong Kong dollars into the US dollar for a jacket and #Person2# corrects him.	Missing the Train
#Person1# tells #Person2# about the late-night film on Channel 5 yesterday.	Boarding
#Person1# tells #Person2# he's tired of working at the bank.	Weather
#Person2# assists #Person1# in finding a big pan for cooking.	Exporter
#Person1# and #Person2# meet at the conference and they start to share some basic information about themselves.	Promotion
#Person1# tells #Person2# #Person1# has been sent over to fill in for Clare Williams.	World Cup
#Person1# and #Person2# discuss how to ask for the bill in the restaurant.	Travel
Steven Smith had a reservation and checks in with #Person1#'s assistance.	Volunteer
#Person2# tells #Person1# #Person2# has tried several ways to catch the mouse but failed.	Shoes
#Person1# tells #Person1# he learns many things and gets a sense of fulfillment and achievement from his job.	Meeting
#Person1# quarreled with his roommate #Person2# last night because #Person2# shouted at him when #Person1# asked #Person2# to turn his stereo down.	social skills
#Person1# finds it really hard to express the ideas in class because #Person1# worries about the responses from others.	Conference
#Person1# blames #Person2# for making the floor filthy and throws #Person2#'s cigarettes away.	Cake
#Person1# calls #Person2# to ask him to prepare a formal bid ASAP to place their Christmas order.	checkout
#Person1# tells #Person2# Whole Foods has fresher and more organic food than that of Sons.	Mailing address
#Person1# thinks the hotel is overcharging him.	Caller
#Person1# welcomes #Person2# who comes to Taiwan after a long flight.	Delivery
#Person1# and #Person2# are complaining about the government's incompetence in improving the economy.	Movie
#Person1# helps #Person2# find her American literature class.	Loan
#Person1# and #Person2# talk about a wonderful football game and a player named John.	causal talk
#Person1# finds #Person1#'s salary is lower than the average salary, so #Person1# asks for a pay raise.	fix breaks
#Person2# pays his bill in cash with #Person1#'s assistance.	trade seats
#Person1# comes in response to #Person1#'s advertisement for a salesperson.	teach word
#Person2# will have tea and an English muffin.	trade roles
#Person1# purchases something from #Person2# by credit card.	buses
#Person1# and #Person2# are waiting for the train and complain about its lateness.	new computer
#Person2# helps #Person1# change 4000 yuan to US dollars.	getting mariied
#Person2# wants to cash a Remittance Advice.	starting work
#Person2# talks about #Person2#'s salary expectation and probation with #Person1#.	complain boy friend
#Person2# tells #Person1# #Person2# can speak English quite fluently and proves it by showing #Person2#'s experience.	personal story
Hong brings #Person1# to a great place.	presentation
#Person2# tells #Person1# the company was established in 1893.	suggestion for letter
#Person1# wants to discuss the new order with Chen.	different table manners
#Person2# has prepared fruit salad and roast beef for supper, but #Person1# would also like to have onion soup.	hotel recommendation
#Person1# helps #Person2# to cash two traveler's cheques to 1,660 yuan in hundreds and fifties.	company argument
#Person1#'s doctor suggested he do more exercise.	coffee talk
#Person1# can't believe #Person2# wasn't satisfied with their ad ideas.	peak view
#Person1# tells #Person2# that working overtime in some companies is a regular thing.	ask ways
#Person1# wants to buy some bread because #Person1# can't find the sandwiches #Person1# made earlier.	buy a desk
#Person1# hears #Person2# will be sent to Germany for the new project.	nanometer
#Person2# tells #Person1# that #Person2# has all of the qualities of a senior executive.	reschedule the reservation
#Person2# serves #Person1# the wrong food twice.	send letters
#Person1# just flew back from London and he bought #Person2# a box of chocolate from the duty-free store.	party preparation
There will be 13 people at the dinner party but #Person2# thinks 13 means bad luck.	chinese market
#Person2# tells #Person1# that their final grades are based on many things such as homework, attendance, quizzes, mid-term, and final.	living location
#Person1# tells #Person1# that he went on a holiday in Chende and introduces the city.	batteries
#Person1# wants to ask for leave from Professor #Person3#'s class and May will bring the note to Professor Li.	the schedule
#Person2# receives a letter and finds that #Person2# is accepted into UCLA.	a meeting
#Person1# finds #Person2# familiar and asks #Person2# about Hugh, a music student at NYU.	global warming
#Person2# asks 90 bucks to sell a thing and #Person1# wants to take it for 60 bucks.	body check
#Person1# tells #Person2# that her colleagues get quick promotions but she always gets sidelined.	boarding procedure
#Person1# asks #Person2# to send the memo to the managerial staff but #Person2# isn't sure who is included.	a bus ticket.
#Person1# calls #Person2# to inform her of the final round of the interview.	digital TV
#Person1# tells #Person2# that #Person1# asked for a non-smoking room, but #Person1#'s room smells like cigarette smoke.	the internet
#Person1# has been given two classes scheduled at the same time.	computers
#Person1# tells #Person2# that #Person1# is interested in switching fields, good at teamwork, and is impatient with #Person1#'s self.	small chats
John Knox tells #Person1# about the structure of the Biopaints plant.	the computer software
#Person1# tells #Person2# that #Person3# and #Person4# will visit them for about one week.	getting old
#Person1# wants to look at #Person2#'s apartment for rent and she tells #Person1# about the noise.	grades
#Person1# thinks #Person2# always works overtime, but #Person2# enjoys it.	a beautiful dress
#Person1# has many hobbies but #Person2# only has one.	restocking the minibar
#Person2# tells #Person1# that #Person3# will be home late.	apartment management
#Person2# tells #Person1# #Person2# considers the car price, size, and color.	buying a stock
#Person1# tells #Person2# that she has some chewing gum on her shoes.	getting in shape
#Person1# points out #Person2#'s problems with the work and she explains that her mother suffers from stomach cancer.	marital status
#Person2# tells #Person1# how to go to the cashpoint.	the price
#Person1# is not satisfied with the party place because it's too noisy and wants to find a better place.	lateness
#Person1# wants to borrow #Person2#'s notes because #Person1#'s is wet.	a necessary book
#Person2# shows #Person1# around the apartment for rent.	who's to blame
#Person1# has been spending a lot of time watching movies and has been obsessed with horror films.	a successful businessman
#Person1# at the counter tells #Person2# the ATM's being refilled causes the hold up and helps #Person2# take out 800 RIB.	costume matching
#Person2# buys bread and a coca-cola at #Person1#'s shop.	the exercise class
#Person1# invites #Person2# to play golf together tomorrow and promises to teach #Person2#.	circus tickets
#Person1# likes #Person2#'s new car, and #Person2# invites #Person1# for a spin.	returning home
#Person2#'s going to quit the job, and #Person1# persuades #Person2#.	a better job
#Person1# and #Person2# greet each other and the people they know.	class performance
#Person1# buys a big aluminum pan with a state-of-the-art, heat-resistant plastic handle and a lid at #Person2#'s store.	find a porter
#Person1# wants to speak to #Person2# about this year's election and reminds #Person2# to vote early.	buy handicrafts
#Person1# will teach #Person2# to play poker.	arrest a drug dealer
#Person2# helps #Person1# book a single room.	job promotion sharing
#Person3#'s having a clearance sale, and #Person1# invites #Person2# to go to #Person3#'s together.	cab sharing
#Person1# needs to get another car.	ask for amenities
#Person1# and #Person2# talk about the development of language.	Teambuilding session
#Person1# wants to buy a Game Boy, but #Person1#'s mom disagreed.	Ticket machine
#Person1# has packed the passport but can't find it.	stolen bag
#Person1# advises #Person2# to try the job in Manchester as an engineer because #Person2#'s quick to learn.	salary withdrawal
#Person2# tells #Person1# #Person2#'s plans for the weekend.	help carry bags
#Person1# tells #Person2# there are three lunch periods and two waves due to the limited school parking lot.	buy a new camera
#Person1# tells #Person2# won't come back to school but can call him.	request for repair
#Person1# in the Peace Hotel helps #Person2# to cancel his reservation.	looking for a seat
#Person1# tells #Person1# she met a guy last night and had a wonderful time.	Sunday plan
#Person1# tells #Person2# the girl's got different taste.	stuck in the elevator
#Person1# tells #Person1# his flight was delayed several times.	price of a jacket
#Person1# sees a flexible woman and a buff man.	purchase of pan
#Person2# tells #Person1# #Person2#'s city is interesting.	fill in
#Person1# wants to date but doesn't have much money.	apply for the visa
#Person2# thinks #Person2# blew the final, so #Person2# feels annoyed.	Meals and cooking
#Person1#'s taking a walk to get exercise.	invitation for a walk
#Person1# helps #Person2# get a brighter light and turn off the air-conditioning.	raise money
#Person1# and #Person2# got married, even #Person1#'s father disagreed.	writing ability
#Person1# helps #Person2# buy a first-class single ticket of flight #Person3# to Sydney.	express ideas
#Person1# tells #Person2# #Person3#'s like the kitchen god who watches everyone and tells the boss whether they're good or bad.	overcharge
#Person2# tells #Person1# #Person2#'s country has many constituencies.	government
#Person1# and #Person2# are both busy working.	find a class
#Person2# tells #Person2# the apartment in Sanlitun is big, quiet, and convenient.	bad movie
Sally'll work late to type #Person1#'s report up.	wonderful game
#Person2# got #Person2# a book about #Person3# as a present.	street parking
#Person1# suggests #Person2# stay with friends and enjoy a holiday.	late train
#Person1# thinks #Person2#'s cheated by his appearance.	Remittance Advice
#Person2# tells #Person1# #Person1# missed the 7:30 flight.	ski
#Person1# tells #Person1# she's lost about ten kilos by going on a diet.	cash cheques
#Person1# and #Person2# are enjoying the beautiful view of the Grand Canyon.	disposable contact lense
Isabel informs #Person1# that he's fired because he was caught making international calls from the office phone.	lost sandwiches
#Person2# assists #Person1# in opening a Current Account with #Person2#'s bank.	workforce
#Person1# buys three pounds of beef with #Person2#'s assistance.	guest number
#Person2# tells #Person1# the terms should be amplified to express the different methods of payment.	calculating final grades
#Person1# and her dad are climbing the mountains, then her dad wants to take the cable car.	city introduction
#Person1# tells #Person1#'s mom #Person1# will work at a bank in downtown Chicago.	work promotion
#Person1# tells #Person2# the position of senior secretary had fallen vacant.	call in sick
#Person1# prefers the hotel next to the river again but #Person1#'s dad already booked one in the woods.	buying and selling
#Person1# won the football game the other day.	managerial staff
#Person1# tells #Person2# about the kinds of cars they have and the mileage and gas.	class schedule
#Person1# blames #Person2# for telling someone the truth.	Beijing Opera
#Person2# tells #Person1# the name of the tallest girl and gives #Person1# more information about her.	business structure
#Person2# tells Sam Steve's parents will come to dinner, but the apple pies she prepared taste bad.	friends' visit
#Person2# tells #Person1# about #Person3#'s childhood experiences including his music learning and school performance.	bike
#Person1# tells #Person1# the woman in the picture is his aunt #Person3# who's a biologist.	drama
#Person1# has stomachache and phones to make an appointment with doctor Smith.	go home late
#Person1# mistakenly thinks the parking space doesn't belong to #Person2# because of the new appearance of #Person2#'s car.	air pollution
#Person1# and #Person1# haven't seen each other for a long time.	party place
#Person1# brings #Person2# to her reserved table and gives her the menu.	notes borrowing
#Person2# pays the check by credit card and asks #Person1# to package #Person2#'s food.	greet each other
#Person1# jokes that John McCain is their new President and #Person2# feels horrible.	play poker
#Person2# guides #Person1# go through the procedures of the chest X-ray.	clearance sale
#Person1# and #Person2# had a nice talk and decide to go out to eat later.	ballpark figure
